Département,Slug,Nom_reel,Code_postal,INSEE
1,ruffieu,Ruffieu,1260,1330
1,meximieux,Meximieux,1800,1244
1,saint-rambert-en-bugey,Saint-Rambert-en-Bugey,1230,1384
1,ambronay,Ambronay,1500,1007
1,cize-01,Cize,1250,1106
1,saint-germain-sur-renon,Saint-Germain-sur-Renon,1240,1359
1,villette-sur-ain,Villette-sur-Ain,1320,1449
1,dagneux,Dagneux,1120,1142
1,boissey-01,Boissey,1190,1050
1,salavre,Salavre,1270,1391
1,brion-01,Brion,1460,1063
1,labalme,Labalme,1450,1200
1,sauverny,Sauverny,1220,1397
1,montceaux,Montceaux,1090,1258
1,brenod,Brénod,1110,1060
1,miserieux,Misérieux,1600,1250
1,prevessin-moens,Prévessin-Moëns,1280,1313
1,lent-01,Lent,1240,1211
1,marsonnas,Marsonnas,1340,1236
1,manziat,Manziat,1570,1231
1,trevoux-01,Trévoux,1600,1427
1,bellegarde-sur-valserine,Bellegarde-sur-Valserine,1200,1033
1,bourg-en-bresse,Bourg-en-Bresse,1000,1053
1,confort,Confort,1200,1114
1,saint-denis-les-bourg,Saint-Denis-lès-Bourg,1000,1344
1,massignieu-de-rives,Massignieu-de-Rives,1300,1239
1,saint-etienne-sur-chalaronne,Saint-Étienne-sur-Chalaronne,1140,1351
1,bohas-meyriat-rignat,Bohas-Meyriat-Rignat,1250,1245
1,chevry-01,Chevry,1170,1103
1,fareins,Fareins,1480,1157
1,gorrevod,Gorrevod,1190,1175
1,valeins,Valeins,1140,1428
1,vieu-d-izenave,Vieu-d'Izenave,1430,1441
1,toussieux,Toussieux,1600,1423
1,arbigny,Arbigny,1190,1016
1,malafretaz,Malafretaz,1340,1229
1,samognat,Samognat,1580,1392
1,cras-sur-reyssouze,Cras-sur-Reyssouze,1340,1130
1,messimy-sur-saone,Messimy-sur-Saône,1480,1243
1,pougny-01,Pougny,1550,1308
1,sandrans,Sandrans,1400,1393
1,pont-de-veyle,Pont-de-Veyle,1290,1306
1,mijoux,Mijoux,1170,1247
1,saint-jean-de-gonville,Saint-Jean-de-Gonville,1630,1360
1,saint-andre-le-bouchoux,Saint-André-le-Bouchoux,1240,1335
1,chaneins,Chaneins,1990,1083
1,joyeux,Joyeux,1800,1198
1,tramoyes,Tramoyes,1390,1424
